YEAR,PREDICTED TEMP
2002,29.53953576357636
2003,29.549118496849687
2004,29.558701230123013
2005,29.568283963396343
2006,29.57786669666967
2007,29.587449429942996
2008,29.597032163216323
2009,29.606614896489653
2010,29.61619762976298
2011,29.625780363036306
2012,29.635363096309632
2013,29.644945829582962
2014,29.65452856285629
2015,29.664111296129615
2016,29.67369402940294
2017,29.68327676267627
